Country,Country letter code,ISO code
Saint Helena,SHN,654
Saint Kitts and Nevis,KNA,659
Saint Lucia,LCA,662
Saint Pierre and Miquelon,SPM,666
Saint Vincent and the Grenadines,VCT,670
Samoa,WSM,882
San Marino,SMR,674
Sao Tome and Principe,STP,678
Saudi Arabia,SAU,682
Senegal,SEN,686
Serbia,SRB,688
Seychelles,SYC,690
Sierra Leone,SLE,694
Singapore,SGP,702
Slovakia,SVK,703
Slovenia,SVN,705
Solomon Islands,SLB,90
Somalia,SOM,706
South Africa,ZAF,710
Spain,ESP,724
Sri Lanka,LKA,144
South Sudan,SSD,728
Sudan,SDN,729
Suriname,SUR,740
Swaziland,SWZ,748
Sweden,SWE,752
Switzerland,CHE,756
Syrian Arab Republic,SYR,760
Tajikistan,TJK,762
Thailand,THA,764
The former Yugoslav Republic of Macedonia,MKD,807
Timor-Leste,TLS,626
Togo,TGO,768
Tokelau,TKL,772
Tonga,TON,776
Trinidad and Tobago,TTO,780
Tunisia,TUN,788
Turkey,TUR,792
Turkmenistan,TKM,795
Turks and Caicos Islands,TCA,796
Tuvalu,TUV,798
Uganda,UGA,800
Ukraine,UKR,804
United Arab Emirates,ARE,784
United Kingdom of Great Britain and Northern Ireland,GBR,826
United Republic of Tanzania,TZA,834
United States of America,USA,840
United States Virgin Islands,VIR,850
Uruguay,URY,858
Uzbekistan,UZB,860
Vanuatu,VUT,548
Venezuela (Bolivarian Republic of),VEN,862
Viet Nam,VNM,704
Wallis and Futuna Islands,WLF,876
Western Sahara,ESH,732
Yemen,YEM,887
Zambia,ZMB,894
Zimbabwe,ZWE,716
