Developing regions,"Country 
letter code",ISO code,CountryOld,Country,,EXCLUDE1isyes,Start year,End year,"Age 
range",Population type,Contraceptive-use-ANY,Contraceptive-use-MODERN,Contraceptive-use-TRADITIONAL,Note on country,Note on population,Note on methods,"Notes on residuals 
(Modern methods)","Notes on residuals 
(Traditional methods)",GEO biases (unknown direction),Non-pregnant and other positive biases,Negative bias,Modern method bias,Folk method positive bias,Unmet,Spacing,Limiting,,Data series/type,Sponsor,Source name,Data Catalogue ID
,ALB ,8,Albania,Albania,Albania2005,0,2005.75,2005.91,15-49,MW,60.1,25,35.1,,,Figures by method do not add up to the total.,,,,,,,,,,,,MICS3,,Albania Multiple Indicator Cluster Survey 2005,1906
,ALB ,8,Albania,Albania,Albania2008,0,2008.75,2009.33,15-49,MW,69.3,10.6,58.7,,,,"Including male sterilization, implants and vaginal barrier methods.",,,,,,,12.9,3.5,9.4,,DHS,,Albania Demographic and Health Survey 2008-2009,4483
developing,DZA ,12,Algeria,Algeria,Algeria1986,0,1986,1988,15-49,MW,35.8,31.3,4.5,,,,"Including male and female sterilization, injectables and vaginal barrier methods.",,,,,,,,,,,National survey,,Enquête nationale sur la fécondité,693
developing,DZA ,12,Algeria,Algeria,Algeria1992,0,1992,1993,15-49,MW,50.9,43.2,7.7,,,,,Including breastfeeding.,,,,,,,,,,PAPCHILD,,Algeria Maternal and Child Health Survey 1992,32
developing,DZA ,12,Algeria,Algeria,Algeria1995,0,1995.75,1995.83,15-49,MW,56.9,49.4,7.5,,,,,Including breastfeeding.,,,,,,,,,,MICS1,,Enquête Nationale sur les Objectifs de la Mi-décennie 1995,713
developing,DZA ,12,Algeria,Algeria,Algeria2000,0,2000.34,2000.36,15-49,MW,64,55,9,,,Adjusted.,,,,,,,,,,,,MICS2,,"Enquête Nationale sur les Objectifs de la fin Décennie, Santé Mères et Enfants Algérie 2000",1933
developing,DZA ,12,Algeria,Algeria,Algeria2002,0,2002.67,2002.91,15-49,MW,57,51.8,5.1,,,Adjusted. Figures by method do not add up to the total.,"Including male sterilization, injectables, implants, male and female condoms, and vaginal barrier methods.",Including breastfeeding.,,,,,,,,,,PAPFAM,,Enquête Algérienne sur la Santé de la Famille 2002,149
developing,DZA ,12,Algeria,Algeria,Algeria2006,0,2006.23,2006.44,15-49,MW,61.4,53.9,7.5,,,,"Including male sterilization, female condoms, injectables, implants, and vaginal barrier methods.",,,,,,,,,,,MICS3,,Enquête Nationale a Indicateurs Multiples 2006,1913
developing,DZA ,12,Algeria,Algeria,Algeria2012,0,2012.81,2013.08,15-49,MW,57.1,49.5,7.6,,,,,,,,,,,7,4.8,2.2,,MICS4,,Algeria 2012 Multiple Indicator Cluster Survey,4984
developing,AGO ,24,Angola,Angola,Angola1996,0,1996.58,1997,15-49,AL,8.1,4.1,4,,Data pertain to non-pregnant women.,,,"Including abstinence, breastfeeding and folk methods.",,Data pertain to non-pregnant women.,,,"Including abstinence, breastfeeding and folk methods.",,,,,MICS1,,Angola Multiple Indicator Cluster Survey 1996,1908
developing,AGO ,24,Angola,Angola,Angola2001,0,2001.25,2001.83,15-49,MW,6.2,4.8,1.4,,,,,,,,,,,,,,,MICS2,,Angola Multiple Indicator Cluster Survey 2001,1937
developing,AGO ,24,Angola,Angola,Angola2008,0,2008.39,2009.49,Dec-49,MW,17.7,,,,,,,Including lactational amenorrhea (LAM).,,,,,,,,,,National survey,,Angola 2008-2009 Inquerito Integrado Sobre o Bem-estar da Populacio (IBEP),4873
developing,AIA ,660,Anguilla,Anguilla,Anguilla2003,0,2003,2004,15-45,AL,43,40.8,2.6,,"Data pertain to all women of reproductive age, irrespective of marital status.",Data pertain to methods used during  the last two months. Figures by method do not add up to the total.,Including contraceptive patch.,,,,,,,,,,,National survey,,Anguilla Reproductive Health Survey,3293
developing,ATG ,28,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda1981,0,1981,1982,15-44,MW,48.2,44.6,2.4,,Data pertain to women exposed to the risk of pregnancy.,Figures by method do not add up to the total.,,,,Data pertain to women exposed to the risk of pregnancy.,,,,,,,,CPS,,Antigua and Barbuda Contraceptive Prevalence Survey 1980-1981,2707
developing,ATG ,28,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda1988,0,1988,1989,15-44,MW,52.6,50.6,2,,,,,,,,,,,,,,,CPS,,Contraceptive Prevalence Survey in Antigua 1988,5083
developing,ARG ,32,Argentina,Argentina,Argentina2001,0,2001,2002,15-49,SA,65.3,63.8,13.3,,Data pertain to sexually active women of reproductive age.,Figures by method do not add up to the total because some methods are used in combination.,,,,Data pertain to sexually active women of reproductive age.,,,,,,,,National survey,,Encuesta de Condiciones de Vida 2001,2906
developing,ARG ,32,Argentina,Argentina,Argentina2004,0,2004,2006,15-49,SA,78.9,69.9,9,,"Data pertain to sexually active, non-pregnant women.",Figures by method do not add up to the total.,,,,"Data pertain to sexually active, non-pregnant women.",,,,,,,,National survey,,"Encuesta Nacional de Nutrición y Salud, 2005",5404
developing,ARG ,32,Argentina,Argentina,Argentina2011,0,2011.67,2012.08,15-49,AL,55.4,53.5,1.9,,"Data pertain to all women of reproductive age, irrespective of marital status.",,,,,,,,,,,,,MICS,,Argentina 2011-2012 Multiple Indicator Cluster Survey,4985
developing,ARG ,32,Argentina,Argentina,Argentina2013,0,2013.33,2013.49,14-49,AL,81.3,78.2,3.1,"Data pertain to urban centers with 2,000 or more people.","Data pertain to all women of reproductive age, irrespective of marital status.",Figures by method do not add up to the total.,Including pills and injectables.,,"Data pertain to urban centers with 2,000 or more people.",,,,,,,,,National survey,,Argentina 2013 Encuesta Nacional sobre Salud Sexual y Reproductiva,6003
developing,ARM ,51,Armenia,Armenia,Armenia1991,0,1991,1992,15-44,MW,56,25.2,30.8,Data pertain to Yerevan.,,,,,Data pertain to Yerevan.,,,,,,,,,National survey,,Study on Contraceptive Prevalence and use in Yerevan,5084
developing,ARM ,51,Armenia,Armenia,Armenia2000,0,2000.75,2001,15-49,MW,60.5,22.3,38.2,,,,,Including folk methods.,,,,,Including folk methods.,18.1,3.5,14.6,,DHS,,Armenia Demographic and Health Survey 2000,1848
developing,ARM ,51,Armenia,Armenia,Armenia2005,0,2005.67,2006,15-49,MW,53.1,19.5,33.6,,,,,Including folk methods.,,,,,Including folk methods.,19.3,3.9,15.5,,DHS,,Armenia Demographic and Health Survey 2005,1843
developing,ARM ,51,Armenia,Armenia,Armenia2010,0,2010.75,2011,15-49,MW,54.9,26.8,28.1,,,,,,,,,,,13.5,5.3,8.2,,DHS,,Armenia Demographic and Health Survey 2010,5046
,AUS ,36,Australia,Australia,Australia1986,0,1986,1987,20-49,MW,76.1,72.2,3.9,,,,,,,,,,,,,,,National survey,,Australian Family Project,2757
,AUS ,36,Australia,Australia,Australia1995,0,1995,1996,18-49,AL,66.7,63.9,2.7,,"Data pertain to all women of reproductive age, irrespective of marital status.",,,,,,,,,,,,,National survey,,1995 National Health Survey,2847
,AUS ,36,Australia,Australia,Australia2001,0,2001,2003,16-59,SA,70.8,70.8,6.3,,Data pertain to women exposed to the risk of pregnancy.,Figures by method do not add up to the total because some methods are used in combination.,,Including douching.,,Data pertain to women exposed to the risk of pregnancy.,,,,,,,,National survey,,Australian Study of Health and Relationships,2917
,AUS ,36,Australia,Australia,Australia2005,0,2005.64,2006.19,18-45,MW,64.5858,62.4758,2.11,,,,,,,,,,,,,,,National survey,,Australia 2005-2006 HILDA,5603
,AUS ,36,Australia,Australia,Australia2008,0,2008.62,2009.16,18-45,MW,60.61,57.92,2.69,,,,,,,,,,,,,,,National survey,,Australia 2008-2009 HILDA,6026
,AUS ,36,Australia,Australia,Australia2011,0,2011.57,2012.12,18-45,MW,66.9649,64.2749,2.69,,,,,,,,,,,,,,,National survey,,Australia 2011-2012 HILDA,6002
,AUT ,40,Austria,Austria,Austria1995,0,1995.92,1996.41,20-49,MW,50.9,46.8,4.1,,,Adjusted.,,,,,,,,,,,,FFS,,Austrian Fertility and Family Survey,2848
,AUT ,40,Austria,Austria,Austria2008,0,2008.71,2009.12,18-46,MW,69.59965388,67.56663436,2.033019521,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,GGS,,Austria 2008-2009 Generations and Gender Survey ,5426
,AUT ,40,Austria,Austria,Austria2012,0,2012.73,2013.4,18-49,MW,65.7,63,2.6,,,,Including contraceptive patch and ring.,,,,,,,,,,,GGS,,Austria 2012-2013 Generations and Gender Survey ,6025
developing,AZE ,31,Azerbaijan,Azerbaijan,Azerbaijan2000,0,2000.58,2000.66,15-49,MW,55.1,16.7,38.4,,,,,,,,,,,,,,,MICS2,,Azerbaijan Multiple Indicator Cluster Survey 2000,1912
developing,AZE ,31,Azerbaijan,Azerbaijan,Azerbaijan2001,0,2001.25,2001.58,15-44,MW,55.4,11.9,43.5,,,,,,,,,,,11.5,1.8,9.7,,RHS,,Reproductive Health Survey Azerbaijan 2001,1670
developing,AZE ,31,Azerbaijan,Azerbaijan,Azerbaijan2006,0,2006.5,2006.91,15-49,MW,51.1,14.3,36.8,,,,,,,,,,,15.4,3,12.5,,DHS,,Azerbaijan Demographic and Health Survey 2006,179
developing,BHS ,44,Bahamas,Bahamas,Bahamas1988,0,1988,1989,15-44,MW,61.7,60.1,1.6,,,,,Including rhythm and withdrawal.,,,,,,,,,,CCPS,,Contraceptive Prevalence Survey in Bahamas,2777
developing,BHR ,48,Bahrain,Bahrain,Bahrain1989,0,1989,1990,15-49,MW,53.8,30.3,23.5,,Data pertain to nationals of the country.,,"Including male sterilization, injectables and vaginal barrier methods.",Including breastfeeding and rhythm.,Data pertain to nationals of the country.,,,,,,,,,GCHS,,Bahrain Child Health Survey 1989,145
developing,BHR ,48,Bahrain,Bahrain,Bahrain1995,0,1995,1996,15-49,MW,61.8,30.6,31.2,,Data pertain to nationals of the country.,,Including male sterilization.,Including breastfeeding.,Data pertain to nationals of the country.,,,,,,,,,GFHS,,Bahrain Family Health Survey 1995,181
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1975,0,1975,1977,Oct-49,MW,7.7,5,2.7,,,,,,,,,,,,,,,WFS,,The Bangladesh Fertility Survey 1975-1976,749
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1979,0,1979.67,1980,Oct-49,MW,12.7,8.9,3.8,,,,,Including abstinence.,,,,,,,,,,CPS,,Bangladesh 1979-1980 Contraceptive Prevalence Survey,822
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1981,0,1981.33,1981.58,Oct-49,MW,18.6,11,7.6,,,,,Including abstinence.,,,,,,,,,,National survey,,1981 Bangladesh Contraceptive Prevalence Survey,653
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1983,0,1983.75,1984,Oct-49,MW,19.1,13.7,5.4,,,,,Including abstinence.,,,,,,,,,,National survey,,1983-1984 Bangladesh Contraceptive Prevalence Survey,164
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1985,0,1985.92,1986.25,Oct-49,MW,25.3,18.4,6.9,,,,,Including abstinence.,,,,,,,,,,National survey,,1985-1986 Bangladesh Contraceptive Prevalence Survey,801
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1988,0,1988.92,1989.25,Oct-49,MW,30.8,23.2,7.6,,,,,Including abstinence.,,,,,,,,,,National survey,,Bangladesh Fertility Survey 1989,828
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1989,0,1989.16,1989.5,Oct-49,MW,31.4,24.4,7.1,,,,,Including abstinence.,,,,,,,,,,National survey,,1989 Bangladesh Contraceptive Prevalence Survey,161
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1991,0,1991,1992,Oct-49,MW,39.9,31.2,8.7,,,,,Including abstinence.,,,,,,,,,,National survey,,1991 Bangladesh Contraceptive Prevalence Survey,2802
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1993,0,1993.83,1994.24,15-49,MW,44.9,36.6,8.3,,,,,,,,,,,21.6,10.7,10.9,,DHS,,Bangladesh Demographic and Health Survey 1993-1994 ,1814
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1996,0,1996.84,1997.24,15-49,MW,49.8,42.1,7.7,,,,,,,,,,,19.7,9.7,10,,DHS,,Bangladesh Demographic and Health Survey 1996-1997 ,1815
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh1999,0,1999.83,2000.25,15-49,MW,54.3,44,10.3,,,,,,,,,,,18.2,8.5,9.7,,DHS,,Bangladesh Demographic and Health Survey 1999-2000,1816
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh2004,0,2004,2004.41,15-49,MW,58.5,47.6,10.8,,,,,,,,,,,15,6.7,8.3,,DHS,,Bangladesh Demographic and Health Survey 2004,1813
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh2007,0,2007.16,2007.66,15-49,MW,55.8,47.5,8.3,,,,,,,,,,,16.8,6.7,10.1,,DHS,,Bangladesh Demographic and Health Survey 2007,1840
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh2011,0,2011.5,2012,15-49,MW,61.2,52.1,9.2,,,Figures by method do not add up to the total.,,,,,,,,13.5,5.4,8.1,,DHS,,Bangladesh Demographic and Health Survey 2011,5048
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh2012,0,2012.92,2013.33,15-49,MW,61.8,59.3,2.5,,,,,,,,,,,13.9,5.5,8.4,,MICS,,Bangladesh 2012-2013 Multiple Indicator Cluster Survey,5595
developing,BGD ,50,Bangladesh,Bangladesh,Bangladesh2014,0,2014.49,2014.85,15-49,MW,62.3,53.9,8.4,,,,,,,,,,,12,5.3,6.6,,DHS,,Bangladesh Demographic and Health Survey 2014,5787
developing,BRB ,52,Barbados,Barbados,Barbados1980,0,1980,1982,15-49,MW,46.5,44.7,1.9,,,,,Including rhythm and withdrawal.,,,,,,,,,,CPS,,Barbados 1980-1981 Contraceptive Prevalence Survey,108
developing,BRB ,52,Barbados,Barbados,Barbados1988,0,1988,1989,15-44,MW,55,53.3,1.7,,,,,,,,,,,,,,,CCPS,,Barbados Contraceptive Prevalence Survey,2778
developing,BRB ,52,Barbados,Barbados,Barbados2012,0,2012.33,2012.83,15-49,MW,59.2,55.4,3.8,,,,,,,,,,,19.9,9.5,10.4,,MICS,,Barbados 2012 Multiple Indicator Cluster Survey,4986
,BLR ,112,Belarus,Belarus,Belarus1995,0,1995,1996,18-34,MW,50.4,42.1,8.3,,,,,Including abstinence.,,,,,,,,,,National survey,,World Bank Survey of Married Women 18-34,2850
,BLR ,112,Belarus,Belarus,Belarus2005,0,2005.83,2006,15-49,MW,72.6,56.5,16.1,,,,,,,,,,,,,,,MICS3,,Republic of Belarus Multiple Indicator Cluster Survey 2005,666
,BLR ,112,Belarus,Belarus,Belarus2012,0,2012.24,2012.5,15-49,MW,63.1,52,11.1,,,,,,,,,,,7,3.8,3.2,,MICS,,Belarus 2012 Multiple Indicator Cluster Survey,4987
,BEL ,56,Belgium,Belgium,Belgium1966,0,1966,1967,20-40,MW,72,10.8,61.2,,Data pertain to the Flemish population only.,Adjusted. Including some cases of sterilization for non-contraceptive reasons.,Including male and female sterilization.,Including douching.,Data pertain to the Flemish population only.,,,+,,,,,,National survey,,First National Survey on Family Development,4955
,BEL ,56,Belgium,Belgium,Belgium1975,0,1975,1977,20-44,MW,87,47.9,39.1,,Data pertain to the Flemish population only.,Adjusted. Including some cases of sterilization for non-contraceptive reasons.,Including male and female sterilization.,,Data pertain to the Flemish population only.,,,+,,,,,,National survey,,Third National Survey on Family Development ,4956
,BEL ,56,Belgium,Belgium,Belgium1982,0,1982,1984,20-44,MW,81,63.2,17.8,,Data pertain to the Flemish population only.,Adjusted. Including some cases of sterilization for non-contraceptive reasons.,Including male and female sterilization.,,Data pertain to the Flemish population only.,,,+,,,,,,National survey,,Fourth National Survey on Family Development,2725
,BEL ,56,Belgium,Belgium,Belgium1991,0,1991.16,1993,21-39,MW,78.4,74.3,4.1,,Data pertain to the Flemish population only.,Including some cases of sterilization for non-contraceptive reasons.,,,Data pertain to the Flemish population only.,,,+,,3.4,,3.4,,FFS,,Fifth National Survey on Family Development,2803
,BEL ,56,Belgium,Belgium,Belgium1997,0,1997,1998,15-54,SA,56.5,54.8,1.6,,Data pertain to sexually active women of reproductive age.,,"Including male and female sterilization, male condoms and vaginal barrier methods.",Including rhythm and withdrawal.,,Data pertain to sexually active women of reproductive age.,,,,,,,,National survey,,Enquête de santé Belgique 1997,4958
,BEL ,56,Belgium,Belgium,Belgium2001,0,2001,2002,15-49,SA,75.6,74,1.3,,Data pertain to sexually active women of reproductive age.,Data pertain to methods used during  the last 12 months. Figures by method do not add up to the total.,"Including male and female sterilization, male and female condoms, injectables, implants and vaginal barrier methods.",Including rhythm and withdrawal.,,Data pertain to sexually active women of reproductive age.,,,,,,,,National survey,,Enquête de santé Belgique 2001,4957
,BEL ,56,Belgium,Belgium,Belgium2004,0,2004,2005,15-49,SA,74.6,72.9,1.5,,Data pertain to sexually active women of reproductive age.,Data pertain to methods used during  the last 12 months. Figures by method do not add up to the total.,"Including male and female sterilization, male and female condoms, injectables, implants and vaginal barrier methods.",Including rhythm and withdrawal.,,Data pertain to sexually active women of reproductive age.,,,,,,,,National survey,,"Enquête de santé par interview, Belgique 2004",4959
,BEL ,56,Belgium,Belgium,Belgium2008,0,2008.08,2010.41,18-49,MW,70.39483756,69.09483756,1.3,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,"Including pill, injectables, IUD, implants, vaginal barrier methods and emergency contraception.",Including rhythm and withdrawal.,,,,+,,,,,,GGS,,Belgium 2008-2010 Generations and Gender Survey,5427
developing,BLZ ,84,Belize,Belize,Belize1991,0,1991.04,1991.13,15-44,MW,46.7,41.8,4.9,,,,,,,,,,,25.7,,,,RHS,,1991 Belize Family Health Survey,779
developing,BLZ ,84,Belize,Belize,Belize1999,0,1999.83,1999.95,15-44,MW,56.1,49.3,6.8,,,,,Including lactational amenorrhea (LAM).,,,,,,20.8,,,,RHS,,1999 Belize Family Health Survey,154
developing,BLZ ,84,Belize,Belize,Belize2006,0,2006.08,2006.24,15-49,AL,34.3,31.5,2.9,,"Data pertain to all women of reproductive age, irrespective of marital status.",,,,,,,,,,,,,MICS3,,Multiple Indicator Cluster Survey Belize 2006,2299
developing,BLZ ,84,Belize,Belize,Belize2011,0,2011.45,2011.59,15-49,MW,55.2,52,3.2,,,,,,,,,,,15.9,8.4,7.5,,MICS4,,Belize Multiple Indicator Cluster Survey 2011,4988
developing,BEN ,204,Benin,Benin,Benin1981,0,1982,1982.75,15-49,MW,6.6,0.7,5.9,,,,,Excluding abstinence. Including douching.,,,,,,,,,,WFS,,Enquête sur la Fécondité au Bénin 1981-1982,697
developing,BEN ,204,Benin,Benin,Benin1996,0,1996.42,1996.67,15-49,MW,16.4,3.4,13,,,,,,,,,,,27.7,18.7,9,,DHS,,Enquête Démographique et de Santé au Benin 1996,1780
developing,BEN ,204,Benin,Benin,Benin2001,0,2001.58,2001.91,15-49,MW,18.6,7.2,11.4,,,,,,,,,,,27.9,18.1,9.8,,DHS,,Enquête Démographique et de Santé au Benin 2001,1761
developing,BEN ,204,Benin,Benin,Benin2006,0,2006.58,2006.91,15-49,MW,17,6.1,10.9,,,,,Including folk methods.,,,,,Including folk methods.,27.3,17.4,9.9,,DHS,,Enquête Démographique et de Santé au Benin 2006,694
developing,BEN ,204,Benin,Benin,Benin2011,0,2011.92,2012.25,15-49,MW,12.9,7.9,5,,,,Including emergency contraception.,,,,,,,32.6,21.1,11.5,,DHS,,Enquête Démographique et de Santé et à Indicateurs Multiples du Bénin EDS-MICS-IV 2011-2012.,4493
developing,BEN ,204,Benin,Benin,Benin2014,0,2014.33,2014.33,15-49,MW,17.9,12.5,4.8,,,Preliminary data. Figures by method do not add up to the total.,,,,,,,,33.1,,,,MICS,,"Enquête par grappes à indicateurs multiples (MICS), 2014",5665
developing,BTN ,64,Bhutan,Bhutan,Bhutan1994,0,1994.33,1994.49,15-49,AL,18.8,18.8,,,"Data pertain to all women of reproductive age, irrespective of marital status.",,,,,,,,,,,,,National survey,,Bhutan National Health Survey 1994,39
developing,BTN ,64,Bhutan,Bhutan,Bhutan2000,0,2000,2001,15-49,MW,30.7,30.7,,,,,,,,,,,,,,,,National survey,,Bhutan National Health Survey 2000,630
developing,BTN ,64,Bhutan,Bhutan,Bhutan2007,1,2007.19,2007.35,15-49,AL,,35.4,,,"Data pertain to all women of reproductive age, irrespective of marital status.",,,,,,,,,,,,,LSMS,,Bhutan Living Standard Survey 2007,4464
developing,BTN ,64,Bhutan,Bhutan,Bhutan2010,0,2010.25,2010.64,15-49,MW,65.6,65.4,0.2,,,,,,,,,,,11.7,4.7,6.9,,MICS4,,"Bhutan Multiple Indicator Survey (BMIS), 2010",4989
developing,BOL ,68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of)1983,0,1983,1984,15-49,EM,23.6,9.9,13.7,,Data pertain to ever-married women of reproductive age.,,,,,,,,,,,,,CPS,,1983 Encuesta de Prevalecía de Medicamentos,2709
developing,BOL ,68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of)1989,0,1989.16,1989.58,15-49,MW,30.3,12.2,18,,,,,,,,,,,35.7,9.5,26.2,,DHS,,Encuesta Nacional de Demografía y Salud 1989,1768
developing,BOL ,68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of)1993,0,1993.83,1994.41,15-49,MW,45.3,17.7,27.6,,,,,,,,,,,28.9,7.5,21.4,,DHS,,Encuesta Nacional de Demografía y Salud 1994,1769
developing,BOL ,68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of)1998,0,1998.16,1998.75,15-49,MW,48.3,25.2,23.1,,,,,Including folk methods.,,,,,Including folk methods.,26.6,6.7,19.9,,DHS,,Encuesta Nacional de Demografía y Salud 1998,1766
developing,BOL ,68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of)2000,0,2000.62,2000.87,15-49,MW,53.4,30.5,22.9,,,,,,,,,,,,,,,MICS2,,Bolivia Encuesta de Múltiples Indicadores por Conglomerados 2000,1930
developing,BOL ,68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of)2003,0,2003.58,2004.08,15-49,MW,58.4,34.9,23.4,,,,,,,,,,,22.8,6,16.9,,DHS,,Encuesta Nacional de Demografía y Salud 2003-2004,1844
developing,BOL ,68,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of)2008,0,2008.08,2008.5,15-49,MW,60.5,34.5,26,,,,,Including folk methods.,,,,,Including folk methods.,20.1,6.2,14,,DHS,,Encuesta Nacional de Demografía y Salud 2008,4492
,BIH ,70,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina1970,0,1970,1971,15-44,AL,42.9,3.1,39.8,,"Data pertain to all women of reproductive age, irrespective of marital status.",Data pertain to methods used during  the last two months.,,,,,,,,,,,,National survey,,1970 Yugoslavia Fertility Survey,2676
,BIH ,70,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina2000,0,2000.64,2000.8,15-49,MW,47.5,16.2,31.2,,,,,,,,,,,,,,,MICS2,,Household Survey of Women and Children Bosnia and Herzegovina 2000,2894
,BIH ,70,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina2006,0,2006.37,2006.52,15-49,MW,35.7,11.3,24.4,,,,,,,,,,,,,,,MICS3,,Bosnia and Herzegovina Multiple Indicator Cluster Survey 2006,2296
,BIH ,70,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina2011,0,2011.83,2012.25,15-49,MW,45.8,12,33.8,,,,,,,,,,,9,3.3,5.7,,MICS4,,"Bosnia and Herzegovina Multiple Indicator Cluster Survey (MICS) 2011–2012, Final Report",4990
developing,BWA ,72,Botswana,Botswana,Botswana1984,0,1984.16,1984.5,15-49,MW,27.8,18.6,9.2,,,,,Including abstinence.,,,,,,,,,,CPS,,1984 Botswana Family Health Survey I ,826
